"title","heading","content"
"Receita Líquida IFRS","e", "A Receita Líquida IFRS do 3T22 foi de R$ 463,8 MM, 50,8% menor que o 3T21, em função principalmente da redução da receita de implementação de infraestrutura, dado os menores investimentos nas concessões de Janaúba e Sant’Ana, e da queda na receita de correção monetária motivada pela contração dos índices inflacionários entre os períodos comparados. A Receita Líquida IFRS do 9M22 foi de R$ 2.107,2 MM, 23,5% menor que o registrado no 9M21. A partir da adoção do CPC 47 (IFRS 15), conforme explicado na seção 4.4, a mudança no reconhecimento do ativo de transmissão produz efeito na receita de implementação de infraestrutura que passa a contabilizar uma margem de implementação de infraestrutura, passando a gerar, portanto, impacto no lucro líquido da Companhia. Considerando o reajuste inflacionário da receita assegurado no contrato de concessão, a Taesa contabiliza mensalmente a correção monetária do ativo contratual da concessão no resultado. Dessa forma, o efeito inflacionário é diluído mês a mês considerando-se a inflação em IGP-M ou IPCA verificada no mês anterior. Os índices utilizados para a correção monetária do terceiro trimestre de 2022 foram: IGP-M de 0,59%, 0,21% e -0,70% (acumulado +0,10%), e IPCA de 0,67%, -0,68% e -0,36% (acumulado -0,37%), referente aos meses de junho, julho e agosto de 2022, respectivamente. No terceiro trimestre de 2021, o IGP-M foi de 0,60%, 0,78% e 0,66% (acumulado +2,05%), e IPCA de 0,53%, 0,96% e 0,87% (acumulado +2,38%), referente aos meses de junho, julho e agosto de 2021, respectivamente."
"Operação e manutenção","e", "O aumento anual de 13,0% da receita de O&M se deve ao reajuste inflacionário do ciclo 2022-2023, de 10,72% no IGP-M e 11,73% no IPCA, considerando a variação entre os períodos de junho de 2021 a maio de 2022, conforme Resolução Homologatória nº 3.067/2022, além do impacto positivo com a entrada em operação de Janaúba em 1º de setembro de 2021."
"Remuneração do ativo contratual de concessão","e", "Calculada pela multiplicação da taxa do projeto sobre o saldo do ativo contratual (contabilizada somente no período operacional da concessão). O crescimento de 35,4% na comparação anual se deve principalmente à entrada em operação de Janaúba e parcial de Sant’Ana, além do impacto material da correção monetária no saldo do ativo contratual nos últimos doze meses que mais que compensou a queda natural desta receita em função da amortização do ativo pelos recebimentos."
"Correção monetária do ativo contratual de concessão","e","Baseada no reajuste mensal pela inflação. A receita de correção monetária apresentou uma queda anual de R$ 258 MM em razão da contração dos índices de inflação IGP-M e IPCA registrados nos períodos comparados (+0,10% no acumulado do 3T22 versus +2,05% no 3T21 no IGP-M e -0,37% no acumulado do 3T22 versus +2,38% no 3T21 no IPCA), conforme apresentado mais acima."
"Implementação de infraestrutura","e", "Conforme explicado na seção 4.4, a partir da adoção do CPC 47 as eficiências geradas até então nos projetos em construção passam a ser contabilizadas como margem de implementação nessa linha da receita. Lembrando que os juros de remuneração do ativo também são adicionados à receita de implementação durante o período pré-operacional. A redução anual de 87,4% na receita de implementação se deve basicamente à entrada em operação de Janaúba e aos menores investimentos em Sant’Ana entre os períodos comparados. Estes efeitos foram compensados em parte pelos investimentos iniciais em Ananaí"
"Parcela variável (PV)","e","A redução de R$ 12,1 MM entre os trimestres refere-se basicamente a maiores provisões de eventos com parcela variável registradas no 3T21 nas concessões Novatrans e ETEO."
"Outras receitas operacionais","e", "A redução de 71,2% na comparação anual é explicada pela contabilização de R$ 19,6 MM nesta linha do resultado do 3T21 referente à receita de Janaúba, que entrou em operação nesta época, quando o ativo contratual ainda não havia sido iniciado."
"Deduções da receita bruta","e", "Houve uma redução de 47,1% na comparação entre o 3T22 e 3T21 principalmente em função do PIS/COFINS que segue a variação da receita bruta em IFRS (o tributo varia de acordo com cada concessão – vide seção 4.15), sendo compensado em parte pelo aumento dos encargos setoriais calculados com base na receita regulatória, principalmente em Janaúba. Para maiores detalhes vide seção 4.8."
"Impacto da Mudança Contábil (CPC 47)","e","A partir de 1º de janeiro de 2018, passou a ser obrigatória a adoção do IFRS 9 (CPC 48) ou do IFRS 15 (CPC 47), com divulgação dessa nova contabilização a partir das Demonstrações Financeiras Anuais de 2018. A Companhia optou por adotar o IFRS 15, cujos princípios se baseiam no modelo de negócio que identifica o contrato com o cliente (bens ou serviços) e suas respectivas obrigações contratuais de desempenho, definindo-se o preço de transação e reconhecimento da receita a partir da realização dessas obrigações (reconhecimento do Ativo de Contrato de Concessão). O Ativo de Contrato de Concessão é calculado mensalmente a partir do fluxo futuro dos recebimentos trazidos a valor presente pela Taxa do Projeto, que se refere ao custo de capital do ativo avaliado à época da sua aquisição. No método contábil adotado (CPC 47 - Ativo de Contrato de Concessão), as eficiências/ineficiências geradas no projeto em construção são contabilizadas como margem de implementação de infraestrutura. Isto é, a receita de implementação de infraestrutura constitui uma margem de implementação, calculada pela diferença entre o Valor Presente da RAP e Valor Futuro do Custo de Implementação no momento da entrada em operação (vide figura acima). Em outras palavras, a receita de implementação é calculada, ao longo do período pré-operacional, pelo custo de implementação mais a margem de implementação, que inclui também os juros de remuneração do ativo no período, calculada pela Taxa do Projeto sobre o saldo do ativo de contrato de concessão. Portanto, no Ativo de Contrato de Concessão a margem de implementação impacta a Demonstração de Resultados do projeto. A receita de remuneração é calculada com base na Taxa do Projeto sobre o saldo do ativo contratual e é contabilizada somente após a entrada em operação do projeto. Durante o período de construção, os juros de remuneração fazem parte da Receita de Implementação de Infraestrutura e o cálculo é o mesmo descrito acima. Após a entrada em operação, o Ativo de Contrato passa a ser corrigido mensalmente pela inflação (IGP-M ou IPCA, de acordo com cada concessão), calculado pela correção monetária dos recebimentos futuros trazidos a valor presente pela Taxa do Projeto. A receita de O&M é uma parcela da RAP destinada a remunerar a operação e a manutenção dos ativos da concessão. "
"Ciclo da RAP 2022-2023","e", "Em 14 de julho de 2022, a ANEEL publicou a Resolução Homologatória 3.067/2022 que estabeleceu as Receitas Anuais Permitidas (RAP) das concessões de transmissão para o ciclo 2022-2023, passando a valer a partir de 1.º de julho de 2022 até 30 de junho de 2023, afetando, portanto, o resultado da Taesa somente a partir do 3T22. As concessões ajustadas pelo IGP-M (Categoria II) sofreram um reajuste inflacionário de 10,72%, e as concessões ajustadas pelo IPCA (Categoria III) sofreram um reajuste inflacionário de 11,73%. Considerando as concessões controladas, investidas em conjunto e coligadas, a RAP total1 (operacional e em construção) da Taesa para o ciclo 2022-2023 é de R$ 3.834,5 MM, sendo 47,8% no nível da holding. A RAP operacional da Taesa para o ciclo 2022-2023 ficou em R$ 3.528,9 MM, contra R$ 2.981,7 MM para o ciclo 2021-2022, considerando a entrada em operação de ESTE em fevereiro, parcial de Sant’Ana em abril, Aimorés em maio, Paraguaçu em julho e de Ivaí em 2022, assim como a previsão de Sant’Ana no seu prazo regulatório (março de 2023). O reajuste da RAP para o ciclo 2022-2023 foi diferente da inflação em algumas concessões pelos seguintes motivos: (i) ATE II, ATE III, Lumitrans, Transirapé, Transudeste e STC sofreram impacto da queda de 50% da RAP, em razão da entrada no 16º ano de operação (para maiores detalhes, vide seção 4.3); (ii) TSN e PATESA apresentaram entrada em operação de reforços; (iii) Janaúba, Aimorés, Paraguaçu, EBTE, ETSE, ESTE e EDTE apresentaram efeito de revisão tarifária; e (iv) Brasnorte apresentou efeito de revisão tarifária em seus reforços. Os valores publicados de RAP das concessões ATE III, São Gotardo, Mariana, Miracema, Janaúba, Aimorés, Paraguaçu, Brasnorte, STC, EBTE, ESDE, ETSE, ESTE, Ivaí, EDTE, Sant’Ana, São João, São Pedro, Lagoa Nova, Ananaí e Pitiguari (nova denominação do Lote 10) foram adicionados de PIS/COFINS para ficarem alinhados às demais concessões da tabela."
"Estrutura Societária","e","As 41 concessões/participações de transmissão detidas pela Taesa estão segregadas em: (i) 10 concessões que compõem a empresa holding (TSN, Novatrans, ETEO, GTESA, PATESA, Munirah, NTE, STE, ATE e ATE II); (ii) 12 investidas integrais (ATE III, Brasnorte, São Gotardo, Mariana, Miracema, Janaúba, Sant’Ana, São João, São Pedro, Lagoa Nova, Ananaí e Pitiguari); e (iii) 19 participações (ETAU, AIE e TBE). A gestão operacional das concessões Transirapé, Transudeste e Transleste (em conjunto, “Transmineiras”) passou a ser realizada pelo grupo TBE. A partir do segundo trimestre de 2022, os resultados das Transmineiras serão incorporados ao resultado da TBE. Para fins de comparação, os respectivos trimestres do ano anterior também sofrerão este ajuste proforma. Há 4 empreendimentos (Sant’Ana, Ivaí, Ananaí e Pitiguari) que estão em fase não operacional. Em 27 de julho de 2022, o empreendimento de Paraguaçu obteve o termo de liberação pela ONS, o qual autoriza o recebimento de R$ 78,6 milhões de RAP para a Companhia de acordo com o ciclo RAP 2022-2023. Paraguaçu é um empreendimento referente ao lote 3, do leilão de transmissão nº 013/2015 (parte 2), realizado em outubro de 2016, em que a Taesa participa em sociedade, na proporção igualitária de 50%. A concessão possui uma RAP total de R$ 157,3 milhões para o ciclo 2022-2023 e está localizada nos estados de Minas Gerais e Bahia, com extensão de 338 km de linha com tensão de 500 kV, interligando a subestação Poções III à subestação Padre Paraíso 2. Em 30 de junho de 2022, a Taesa sagrou-se vencedora na disputa pelo lote 10 do Leilão de Transmissão ANEEL 01/2022, situado em Santa Catarina, com extensão de 92,7 km, sendo 66,7 km de circuito duplo e um investimento previsto de R$ 243,2 MM (Capex ANEEL). O novo empreendimento, chamado de Pitiguari Transmissora de Energia Elétrica S.A. (“Pitiguari”), terá um prazo regulatório de 54 meses para conclusão e acrescentará para a Companhia uma RAP de R$ 19,5 milhões a partir da sua entrada em operação. O empreendimento foi assumido formalmente pela Companhia em 30 de setembro de 2022, quando o contrato de concessão foi assinado. Em 6 de maio de 2022, o empreendimento de Aimorés entrou em operação comercial, passando a adicionar o valor de R$ 52,7 milhões de RAP para a Companhia de acordo com o ciclo RAP 2022-2023. Aimorés é um empreendimento referente ao lote 4, do leilão de transmissão nº 013/2015 (parte 2), realizado em outubro de 2016, em que a Taesa participa em sociedade, na proporção igualitária de 50%. A concessão possui uma RAP total de R$ 105,4 milhões para o ciclo 2022-2023 e está localizada no estado de Minas Gerais, com extensão de 208 km de linha com tensão de 500 kV, interligando a subestação Padre Paraíso 2 à subestação Governador Valadares 6. Em 1º de abril de 2022, o empreendimento de Sant’Ana obteve os termos de liberação para as linhas de transmissão LT Livramento 3 – Alegrete 2 (C1) e LT Livramento 3 – Cerro Chato (C1), ambas com tensão de 230 kV, e para parte da subestação SE 230 kV Livramento 3. Com isso, as instalações entraram em operação comercial com uma antecipação de quase 12 meses em relação ao prazo ANEEL, passando a adicionar para a Companhia uma RAP de mais de 23% da RAP total do empreendimento, retroativa a 28 de março de 2022. Sant’Ana é um empreendimento do lote 12, do leilão de transmissão nº 004/2018, realizado em dezembro de 2018, 100% controlada pela Taesa, e apresenta uma RAP total de R$ 77,8 milhões para o ciclo 2022-2023 e um Capex ANEEL de R$ 610 milhões. O empreendimento está localizado no Estado do Rio Grande do Sul, com extensão aproximadamente de 591 km de linhas de transmissão. Em 18 de fevereiro de 2022, o empreendimento de ESTE obteve o termo de liberação pela ONS, o qual autoriza o recebimento de receita a partir de 9 de fevereiro de 2022, passando a adicionar para a Taesa uma RAP de R$ 74,5 milhões (ciclo 2022-2023). ESTE é um empreendimento do lote 22, do leilão de transmissão nº 013/2015 (parte 2), realizado em outubro de 2016, 100% controlada pela subsidiária EATE, na qual a Taesa possui de 49,98% do capital social total. A ESTE possui uma RAP total de R$ 149,0 milhões para o ciclo 2022-2023 e está localizada entre os "
"Estrutura Societária","e","Estados de Minas Gerais e Espírito Santo, compreendendo a linha de transmissão LT 500 kV Mesquita - João Neiva 2, de cerca de 236 km de extensão, e a subestação SE 500/345 kV João Neiva 2. Em 17 de dezembro de 2021, a Taesa sagrou-se vencedora na disputa pelo lote 1, o maior lote do Leilão de Transmissão ANEEL 02/2021, situado entre os Estados de São Paulo e Paraná, com extensão de 363 km em circuito duplo e um investimento previsto de R$ 1,75 bilhão (Capex ANEEL). O novo empreendimento, chamado de Ananaí Transmissora de Energia Elétrica S.A. (“Ananaí”), terá um prazo regulatório de 60 meses para conclusão e acrescentará para a Companhia uma RAP de R$ 159,9 MM (ciclo 2022-2023) a partir da sua entrada em operação. O empreendimento foi assumido formalmente pela Companhia em 31 de março de 2022, quando o contrato de concessão foi assinado. Em 1º de setembro de 2021, o empreendimento da concessão Janaúba entrou em operação comercial, com 5,5 meses de antecipação ao prazo limite exigido pela ANEEL e uma eficiência no volume total de investimento em torno de 18% em relação ao Capex ANEEL, passando então a adicionar o valor de R$ 257,6 MM de RAP para a Taesa (ciclo 2022-2023). Janaúba é o maior projeto greenfield entregue pela Companhia até o momento, localizado entre os estados de Minas Gerais e Bahia com extensão de 545 km de linha, compreendendo as linhas de transmissão LT 500 kV Bom Jesus da Lapa II - Janaúba 3 (Circuito Simples) e LT 500 kV Janaúba 3 - Pirapora 2 (Circuito Simples) e três subestações de 500 kV (Bom Jesus da Lapa II, Janaúba 3 e Pirapora 2). Todos os valores de RAP mencionados acima estão adicionados de PIS/COFINS. Para maiores detalhes, vide seção 4.2."
